year,code,amount,name,topname,depname,depcat,cat,ref,note
2023,3102010100,966732000,無細項,總統府主管,總統府,一般行政,國務支出,1.1.1,"本年度預算數之內容與上年度之比較
如下：
1.人員維持費657,474千元，較上年
   度伸算增列調整待遇等經費25,004
   千元。
2.基本行政工作維持費200,611千元
   ，較上年度減列南北苑外牆立面及
   木窗檢修等經費68,303千元，增列
   中央空調及門禁識別管理系統汰換
   等經費68,097千元，計淨減206千
   元。其中中央空調主機與送風機系
   統汰換計畫總經費90,893千元，分
   4年辦理，本年度編列第1年經費18
   ,416千元。
3.資訊行政工作維持費103,154千元
   ，較上年度增列資訊軟硬體設備費
   等32,801千元。其中資訊資安基礎
   環境創新升級計畫總經費131,611
   千元，分4年辦理，本年度編列第1
   年經費33,000千元。
4.警衛行政工作維持費5,493千元，
   較上年度增列禮賓及相關員工服裝
   經費46千元。"
2023,3102010200,30000000,無細項,總統府主管,總統府,國務機要,國務支出,1.1.2,"本年度預算數30,000千元，係國家元
首訪視、犒賞、獎助、慰問、接待、
贈禮及其他相關經費，與上年度同。"
2023,3102010300,15662000,無細項,總統府主管,總統府,國家慶典,國務支出,1.1.3,"本年度預算數之內容與上年度之比較
如下：
1.慶典布置經費7,080千元，與上年
   度同。
2.慶典接待經費8,582千元，與上年
   度同。"
2023,3102010400,5101000,國家發展研究及諮詢,總統府主管,總統府,研究發展,國務支出,1.1.4.1,
2023,3102010500,6699000,無細項,總統府主管,總統府,新聞發布,國務支出,1.1.5,"本年度預算數6,699千元，係辦理新
聞聯繫與發布所需經費，與上年度同
。"
2023,3102010600,8811000,無細項,總統府主管,總統府,卸任禮遇,國務支出,1.1.6,"本年度預算數8,811千元，係第13任
卸任總統禮遇經費，較上年度增列禮
遇金128千元。"
2023,3102010800,4305000,無細項,總統府主管,總統府,公報編印及印信勳章鑄造,國務支出,1.1.7,"本年度預算數之內容與上年度之比較
如下：
1.印信鑄造及公報編印經費1,525千
   元，較上年度增列各機關印信製(
   換)發等經費441千元。
2.勳章製作及敬老事宜經費2,780千
   元，較上年度減列勳章製作等經費
   441千元。"
2023,3102019000,10420000,交通及運輸設備,總統府主管,總統府,一般建築及設備,國務支出,1.1.8.1,
2023,3102019800,3372000,無細項,總統府主管,總統府,第一預備金,國務支出,1.1.9,仍照上年度預算數編列。
2023,3102100100,191362000,無細項,總統府主管,國家安全會議,一般行政,國務支出,1.2.1,"本年度預算數之內容與上年度之比較
如下：
1.人員維持費160,748千元，較上年
   度伸算增列調整待遇等經費9,075
   千元。
2.基本行政工作維持費30,614千元，
   較上年度減列公文系統開發等經費
   2,746千元。"
2023,3102102000,21200000,無細項,總統府主管,國家安全會議,諮詢研究業務,國務支出,1.2.2,"本年度預算數21,200千元，係國家安
全諮詢研究業務經費，較上年度增列
國防安全議題之探討與研究等經費2,
746千元。"
2023,3102109800,500000,無細項,總統府主管,國家安全會議,第一預備金,國務支出,1.2.3,仍照上年度預算數編列。
2023,5302300100,177472000,無細項,總統府主管,國史館,一般行政,文化支出,1.3.1,"本年度預算數之內容與上年度之比較
如下：
1.人員維持費153,577千元，較上年
   度伸算增列調整待遇等經費6,269
   千元。
2.基本行政工作維持費19,371千元，
   較上年度增列辦理電梯汰換及古蹟
   大樓西側圍牆整修工程等經費1,60
   1千元。
3.資訊業務經費4,524千元，較上年
   度減列辦理資訊系統改版等經費95
   0千元。"
