year,code,amount,name,topname,depname,depcat,cat,ref,note
2022,3102010100,920526000,無細項,總統府主管,總統府,一般行政,國務支出,1.1.1,"本年度預算數之內容與上年度之比較如下：
1.人員維持費632,470千元，較上年度核實
   增列人事費2,309千元。
2.基本行政工作維持費210,913千元，較上
   年度增列臺北賓館附屬舊建築物整修及發
   電機設備汰換等經費20,191千元。其中南
   北苑外牆立面及木窗檢修計畫總經費47,3
   10千元，分2年辦理，110年度已編列23,0
   80千元，本年度續編最後1年經費24,230
   千元，較上年度增列1,150千元。
3.資訊行政工作維持費71,696千元，較上年
   度增列日誌系統容量擴充等經費1,542千
   元。
4.警衛行政工作維持費5,447千元，較上年
   度增列軍職人員服裝等經費150千元。"
2022,3102010200,30000000,無細項,總統府主管,總統府,國務機要,國務支出,1.1.2,"本年度預算數30,000千元，係國家元首訪視
、犒賞、獎助、慰問、接待、贈禮及其他相
關經費，與上年度同。"
2022,3102010300,15760000,無細項,總統府主管,總統府,國家慶典,國務支出,1.1.3,"本年度預算數之內容與上年度之比較如下：
1.慶典布置經費7,080千元，與上年度同。
2.慶典接待經費8,680千元，與上年度同。"
2022,3102010400,5332000,國家發展研究及諮詢,總統府主管,總統府,研究發展,國務支出,1.1.4.1,
2022,3102010500,6799000,無細項,總統府主管,總統府,新聞發布,國務支出,1.1.5,"本年度預算數6,799千元，係辦理新聞聯繫
與發布所需經費，與上年度同。"
2022,3102010600,8683000,無細項,總統府主管,總統府,卸任禮遇,國務支出,1.1.6,"本年度預算數8,683千元，係第13任卸任總
統禮遇經費，與上年度同。"
2022,3102010800,4305000,無細項,總統府主管,總統府,公報編印及印信勳章鑄造,國務支出,1.1.7,"本年度預算數之內容與上年度之比較如下：
1.印信鑄造及公報編印經費1,084千元，較
   上年度減列各機關印信製(換)發等經費95
   6千元。
2.勳章製作及敬老事宜經費3,221千元，較
   上年度增列勳章製作及致贈敬老狀等經費
   900千元。"
2022,3102019000,10020000,交通及運輸設備,總統府主管,總統府,一般建築及設備,國務支出,1.1.8.1,
2022,3102019800,3372000,無細項,總統府主管,總統府,第一預備金,國務支出,1.1.9,仍照上年度預算數編列。
2022,3102100100,185961000,無細項,總統府主管,國家安全會議,一般行政,國務支出,1.2.1,"本年度預算數之內容與上年度之比較如下：
1.人員維持費151,673千元，較上年度核實
   減列人事費110千元。
2.基本行政工作維持費34,288千元，較上年
   度減列進階威脅防護偵測資安設備等經費
   1,025千元。"
2022,3102102000,19043000,無細項,總統府主管,國家安全會議,諮詢研究業務,國務支出,1.2.2,"本年度預算數19,043千元，係國家安全諮詢
研究業務經費，較上年度減列非傳統安全及
外交議題研究等經費1,400千元。"
2022,3102109800,500000,無細項,總統府主管,國家安全會議,第一預備金,國務支出,1.2.3,仍照上年度預算數編列。
2022,5302300100,171338000,無細項,總統府主管,國史館,一般行政,文化支出,1.3.1,"本年度預算數之內容與上年度之比較如下：
1.人員維持費147,308千元，較上年度核實
   增列人事費621千元。
2.基本行政工作維持費18,352千元，較上年
   度減列辦理辦公廳舍整修工程及古蹟大樓
   結構安全詳評等經費4,680千元。
3.資訊業務經費5,678千元，較上年度增列
   辦理資訊系統改版等經費2,500千元。"
2022,5302301000,29742000,無細項,總統府主管,國史館,檔案文物管理與編纂,文化支出,1.3.2,"本年度預算數之內容與上年度之比較如下：
1.文物管理應用經費8,461千元，較上年度
   減列庫房自動滅火系統等經費22千元。
2.檔案管理應用經費6,241千元，與上年度
   同。
3.史料編纂經費15,040千元，較上年度增列
   建置總統資料庫系統等經費6,874千元。"
2022,5302309800,340000,無細項,總統府主管,國史館,第一預備金,文化支出,1.3.3,仍照上年度預算數編列。
2022,5302313000,73831000,無細項,總統府主管,國史館臺灣文獻館,一般行政,文化支出,1.4.1,"本年度預算數之內容與上年度之比較如下：
1.人員維持費55,073千元，較上年度核實增
   列人事費595千元。
2.基本行政工作維持費18,758千元，較上年
   度增列園區委外清潔、文物及史蹟大樓電
   梯升降機組設備更新工程等經費4,189千
   元。"
2022,5302314000,23910000,無細項,總統府主管,國史館臺灣文獻館,文獻業務,文化支出,1.4.2,"本年度預算數之內容與上年度之比較如下：
1.民俗文物管理應用經費6,106千元，較上
   年度增列辦理各項特展活動海報圖文設計
   、文宣及展場設計製作等經費913千元。
2.文獻管理應用經費12,924千元，較上年度
   減列購置文物大樓檔案庫房消防設備、原
   住民族展覽展場設計施作等經費4,306千
   元。
3.文獻研究編纂經費4,880千元，較上年度
   增列第12屆臺灣總督府檔案學術研討會、
   口述歷史訪談等經費1,015千元。"
2022,5302319000,850000,交通及運輸設備,總統府主管,國史館臺灣文獻館,一般建築及設備,文化支出,1.4.3.1,
2022,5202400100,262946000,無細項,總統府主管,中央研究院,一般行政,科學支出,1.5.1,"本年度預算數之內容與上年度之比較如下：
1.人員維持費212,743千元，較上年度增列
   副院長由兼任改為專任之本薪及專業加給
   、退撫基金提撥等經費2,155千元。
2.基本行政工作維持費39,268千元，較上年
   度減列清潔印刷及設施養護等經費1,832
   千元。
3.幼兒園運作維持經費10,935千元，較上年
   度增列清潔印刷等經費125千元。"
2022,5202401000,2565327000,人力資源,總統府主管,中央研究院,一般學術研究及評議,科學支出,1.5.2.1,
2022,5202402000,1523222000,數理科學研究,總統府主管,中央研究院,自然及人文社會科學研究,科學支出,1.5.3.1,
2022,5202404000,1013481000,無細項,總統府主管,中央研究院,南部院區,科學支出,1.5.4,"本年度預算數之內容與上年度之比較如下：
1.南部院區綜合規劃計畫總經費5,545,417
   千元，分年辦理，105至110年度已編列4,
   584,061千元，111年度續編經費854,200
   千元，較上年度增列168,564千元。
2.南部院區維運經費86,859千元，較上年度
   增列資訊硬體設備購置及房屋建築裝修工
   程等經費31,321千元。
3.農業生技經費67,731千元，較上年度減列
   儀器設備等經費14,345千元。
4.量子科技/循環永續經費4,691千元，較上
   年度增列約聘僱助理人員薪資等經費181
   千元。"
2022,5202405000,1288395000,科學研究基金,總統府主管,中央研究院,非營業特種基金,科學支出,1.5.5.1,
2022,5202409000,5260000,交通及運輸設備,總統府主管,中央研究院,一般建築及設備,科學支出,1.5.6.1,
2022,5202409800,7375000,無細項,總統府主管,中央研究院,第一預備金,科學支出,1.5.7,仍照上年度預算數編列。
2022,3203010100,957826000,無細項,行政院主管,行政院,一般行政,行政支出,2.1.1,"本年度預算數之內容與上年度之比較如下：
1.人員維持費880,794千元，較上年度增列
   員工不休假加班費等12,433千元。
2.基本行政工作維持費74,952千元，較上年
   度增列環境清潔維護等經費1,160千元。
3.慶典佈置經費150千元，與上年度同。
4.檔案管理典藏掃描及維護經費397千元，
   與上年度同。
5.資料蒐集及陳列經費1,533千元，與上年
   度同。"
2022,3203010700,12156000,無細項,行政院主管,行政院,施政及法制業務,行政支出,2.1.2,"本年度預算數之內容與上年度之比較如下：
1.院會議事經費338千元，與上年度同。
2.施政報告編印經費684千元，與上年度同
   。
3.政策及法案之研審經費928千元，與上年
   度同。
4.派員出國計畫經費709千元，較上年度減
   列派員出國考察經費72千元。
5.公共事務推展經費6,172千元，與上年度
   同。
6.法規審查研議及訴願審議督導3,325千元
   ，與上年度同。"
2022,3203011100,6150000,無細項,行政院主管,行政院,施政推展聯繫,行政支出,2.1.3,"本年度預算數6,150千元，係院長行使職權
之相關必要支出，與上年度同。"
2022,3203011500,37800000,無細項,行政院主管,行政院,科技發展研究諮詢,行政支出,2.1.4,"本年度預算數之內容與上年度之比較如下：
1.科技發展企劃及行政工作維持費34,127千
   元，較上年度減列辦公大樓管理費等193
   千元。
2.政府科技概算審議經費1,991千元，較上
   年度減列辦理計畫審議作業等經費1,000
   千元。
3.科技會報及重要科技策略會議經費1,682
   千元，較上年度減列辦理國際會議等經費
   300千元。"
2022,3203011600,33465000,無細項,行政院主管,行政院,聯合服務業務,行政支出,2.1.5,"本年度預算數之內容與上年度之比較如下：
1.南部聯合服務業務經費8,947千元，與上
   年度同。
2.中部聯合服務業務經費6,573千元，與上
   年度同。
3.東部聯合服務業務經費5,337千元，與上
   年度同。
4.雲嘉南區聯合服務業務經費6,286千元，
   與上年度同。
5.金馬聯合服務業務經費6,322千元，較上
   年度減列建置福建省政府數位省史館等經
   費2,826千元，增列館舍維運等經費2,061
   千元，計淨減765千元。"
2022,3203011800,7819000,無細項,行政院主管,行政院,國土及資通安全業務,行政支出,2.1.6,"本年度預算數之內容與上年度之比較如下：
1.國土安全規劃經費4,509千元，與上年度
   同。
2.資通安全業務經費3,310千元，與上年度
   同。"
2022,3203011900,10283000,無細項,行政院主管,行政院,災害防救業務,行政支出,2.1.7,"本年度預算數之內容與上年度之比較如下：
1.災害防救行政工作維持費1,860千元，較
   上年度減列辦理各項會議雜支等經費96千
   元。
2.全國災害防救業務推展經費8,423千元，
   較上年度增列辦理精進災害防救效能計畫
   等經費2,166千元。"
2022,3203012000,20403000,無細項,行政院主管,行政院,性別平等業務,行政支出,2.1.8,"本年度預算數之內容與上年度之比較如下：
1.性別平等綜合企劃業務經費2,301千元，
   與上年度同。
2.推展性別平等權益促進工作經費1,367千
   元，與上年度同。
3.推展性別平等權利保障工作經費8,728千
   元，較上年度增列辦理消除對婦女一切形
   式歧視公約等經費6,375千元。
4.性別平等推廣及發展工作經費8,007千元
   ，與上年度同。"
2022,3203012200,12923000,無細項,行政院主管,行政院,消保及食安業務,行政支出,2.1.9,"本年度預算數之內容與上年度之比較如下:
1.消費者保護綜合企劃業務經費4,009千元
   ，與上年度同。
2.消費者保護督導業務經費2,763千元，與
   上年度同。
3.消費者保護法制業務經費902千元，與上
   年度同。
4.消費者保護官業務經費3,249千元，與上
   年度同。
5.食品安全業務經費2,000千元，較上年度
   減列購置文具紙張等經費390千元。"
2022,3203012300,51641000,無細項,行政院主管,行政院,資訊管理,行政支出,2.1.10,"本年度預算數之內容與上年度之比較如下：
1.資訊系統維運及更新經費41,984千元，與
   上年度同。
2.數位轉型提升計畫總經費71,100千元，分
   5年辦理，110年度已編列11,100千元，本
   年度續編第2年經費9,657千元，較上年度
   減列1,443千元。"
